15/03/2023
15:15:55 Ligou CLP
15:26:30 Ligou CLP
15:27:08 Ligou CLP
15:27:08 Ativou Alarme Motor desligado
15:28:21 Ligou CLP
15:28:21 Ativou Alarme Motor desligado
15:29:56 Ligou CLP
15:32:07 Ligou CLP
15:33:32 Ligou CLP
15:33:33 Ativou Alarme Motor desligado
15:33:39 senhaCorrente=****
15:34:04 Desativou Alarme Motor desligado
15:34:06 Ativou Alarme Motor desligado
15:34:06 Desativou Alarme Motor desligado
15:34:08 Ativou Alarme Motor desligado
15:34:08 Desativou Alarme Motor desligado
15:35:05 Ativou Alarme Protetor dianteiro aberto
15:35:05 Desativou Alarme Protetor dianteiro aberto
15:35:06 Ativou Alarme Protetor dianteiro aberto
15:35:06 Desativou Alarme Protetor dianteiro aberto
15:35:07 Ativou Alarme Protetor dianteiro aberto
15:35:10 Desativou Alarme Protetor dianteiro aberto
15:35:10 Ativou Alarme Protetor dianteiro aberto
15:35:12 Desativou Alarme Protetor dianteiro aberto
15:35:12 Ativou Alarme Protetor dianteiro aberto
15:35:12 Desativou Alarme Protetor dianteiro aberto
15:35:13 Ativou Alarme Protetor dianteiro aberto
15:35:13 Desativou Alarme Protetor dianteiro aberto
15:35:16 Ativou Alarme Protetor dianteiro aberto
15:35:17 Desativou Alarme Protetor dianteiro aberto
15:35:17 Ativou Alarme Protetor dianteiro aberto
15:35:17 Desativou Alarme Protetor dianteiro aberto
15:35:18 Ativou Alarme Protetor dianteiro aberto
15:35:18 Desativou Alarme Protetor dianteiro aberto
15:35:18 Ativou Alarme Protetor dianteiro aberto
15:35:18 Desativou Alarme Protetor dianteiro aberto
15:35:18 Ativou Alarme Protetor dianteiro aberto
15:35:19 Desativou Alarme Protetor dianteiro aberto
15:35:19 Ativou Alarme Protetor dianteiro aberto
15:35:19 Desativou Alarme Protetor dianteiro aberto
15:35:19 Ativou Alarme Protetor dianteiro aberto
15:35:19 Desativou Alarme Protetor dianteiro aberto
15:35:20 Ativou Alarme Protetor dianteiro aberto
15:35:20 Desativou Alarme Protetor dianteiro aberto
15:35:22 Ativou Alarme Protetor dianteiro aberto
15:35:22 Desativou Alarme Protetor dianteiro aberto
15:35:22 Ativou Alarme Protetor dianteiro aberto
15:35:23 Desativou Alarme Protetor dianteiro aberto
15:35:23 Ativou Alarme Protetor dianteiro aberto
15:35:23 Desativou Alarme Protetor dianteiro aberto
15:35:23 Ativou Alarme Protetor dianteiro aberto
15:35:23 Desativou Alarme Protetor dianteiro aberto
15:35:24 Ativou Alarme Protetor dianteiro aberto
15:35:24 Desativou Alarme Protetor dianteiro aberto
15:35:24 Ativou Alarme Protetor dianteiro aberto
15:35:24 Desativou Alarme Protetor dianteiro aberto
15:35:24 Ativou Alarme Protetor dianteiro aberto
15:35:24 Desativou Alarme Protetor dianteiro aberto
15:35:24 Ativou Alarme Protetor dianteiro aberto
15:35:24 Desativou Alarme Protetor dianteiro aberto
15:35:25 Ativou Alarme Protetor dianteiro aberto
15:35:25 Desativou Alarme Protetor dianteiro aberto
15:35:25 Ativou Alarme Protetor dianteiro aberto
15:35:25 Desativou Alarme Protetor dianteiro aberto
15:35:25 Ativou Alarme Protetor dianteiro aberto
15:35:25 Desativou Alarme Protetor dianteiro aberto
15:35:25 Ativou Alarme Protetor dianteiro aberto
15:35:26 Desativou Alarme Protetor dianteiro aberto
15:35:27 Ativou Alarme Protetor dianteiro aberto
15:35:27 Ativou Alarme Molde nao fechado
15:35:27 Desativou Alarme Protetor dianteiro aberto
15:35:27 Desativou Alarme Molde nao fechado
15:35:27 Ativou Alarme Protetor dianteiro aberto
